CMDLINE /home/mamm/anaconda3/envs/agar/bin/python test_dqn.py
MEM 0.375000 1738815942.9259
MEM 21.929688 1738815943.0262
MEM 35.917969 1738815943.1267
MEM 47.550781 1738815943.2271
MEM 84.675781 1738815943.3273
MEM 218.800781 1738815943.4277
MEM 261.800781 1738815943.5282
MEM 279.675781 1738815943.6287
MEM 303.675781 1738815943.7291
MEM 343.300781 1738815943.8295
MEM 350.480469 1738815943.9298
MEM 358.980469 1738815944.0301
MEM 367.230469 1738815944.1305
MEM 373.730469 1738815944.2309
MEM 375.480469 1738815944.3314
MEM 379.105469 1738815944.4317
MEM 384.105469 1738815944.5322
MEM 388.105469 1738815944.6326
MEM 413.105469 1738815944.7330
MEM 417.730469 1738815944.8334
MEM 422.855469 1738815944.9336
MEM 463.726562 1738815945.0339
MEM 478.851562 1738815945.1343
MEM 483.601562 1738815945.2347
MEM 495.976562 1738815945.3352
MEM 532.867188 1738815945.4356
MEM 537.617188 1738815945.5360
MEM 542.992188 1738815945.6364
MEM 545.742188 1738815945.7368
MEM 551.992188 1738815945.8372
MEM 601.367188 1738815945.9376
MEM 722.031250 1738815946.0379
MEM 790.281250 1738815946.1384
MEM 864.281250 1738815946.2387
MEM 872.531250 1738815946.3401
MEM 883.031250 1738815946.4406
MEM 894.031250 1738815946.5408
MEM 904.531250 1738815946.6410
MEM 915.281250 1738815946.7413
MEM 926.156250 1738815946.8414
MEM 936.906250 1738815946.9421
MEM 946.656250 1738815947.0423
MEM 957.656250 1738815947.1425
MEM 968.281250 1738815947.2505
MEM 979.031250 1738815947.3523
MEM 988.781250 1738815947.4525
MEM 1000.281250 1738815947.5532
MEM 1012.031250 1738815947.6540
MEM 1023.781250 1738815947.7545
MEM 1035.656250 1738815947.8549
MEM 1047.406250 1738815947.9557
MEM 1056.906250 1738815948.0560
MEM 1068.656250 1738815948.1562
MEM 1078.656250 1738815948.2576
MEM 1089.906250 1738815948.3590
MEM 1100.656250 1738815948.4603
MEM 1112.156250 1738815948.5611
MEM 1121.906250 1738815948.6627
MEM 1133.531250 1738815948.7644
MEM 1144.781250 1738815948.8662
MEM 1154.781250 1738815948.9668
MEM 1164.781250 1738815949.0675
MEM 1176.781250 1738815949.1677
MEM 1187.156250 1738815949.2683
MEM 1201.156250 1738815949.3685
