CMDLINE /home/mamm/anaconda3/envs/agar/bin/python train_ppo.py
MEM 0.375000 1738823977.9794
MEM 22.062500 1738823978.0797
MEM 35.804688 1738823978.1801
MEM 46.679688 1738823978.2805
MEM 66.429688 1738823978.3807
MEM 181.054688 1738823978.4813
MEM 259.429688 1738823978.5817
MEM 276.179688 1738823978.6823
MEM 295.179688 1738823978.7827
MEM 342.304688 1738823978.8831
MEM 353.460938 1738823978.9834
MEM 361.460938 1738823979.0839
MEM 369.335938 1738823979.1843
MEM 374.085938 1738823979.2846
MEM 376.835938 1738823979.3850
MEM 380.835938 1738823979.4854
MEM 384.835938 1738823979.5858
MEM 389.585938 1738823979.6862
MEM 417.210938 1738823979.7866
MEM 418.335938 1738823979.8869
MEM 427.085938 1738823979.9873
MEM 471.359375 1738823980.0877
MEM 487.609375 1738823980.1882
MEM 493.234375 1738823980.2885
MEM 503.234375 1738823980.3890
MEM 540.304688 1738823980.4893
MEM 544.179688 1738823980.5897
MEM 549.679688 1738823980.6901
MEM 551.804688 1738823980.7905
MEM 557.554688 1738823980.8910
MEM 603.929688 1738823980.9914
MEM 706.363281 1738823981.0918
MEM 808.363281 1738823981.1923
MEM 872.613281 1738823981.2927
MEM 955.238281 1738823981.3930
MEM 961.488281 1738823981.4957
MEM 968.238281 1738823981.5971
MEM 975.238281 1738823981.6973
MEM 981.738281 1738823981.7975
MEM 988.488281 1738823981.8995
MEM 994.988281 1738823981.9997
MEM 999.988281 1738823982.1000
MEM 1006.613281 1738823982.2024
MEM 1011.863281 1738823982.3026
MEM 1016.738281 1738823982.4029
MEM 1022.238281 1738823982.5040
MEM 1028.613281 1738823982.6043
MEM 1102.996094 1738823982.7052
MEM 1082.839844 1738823982.8056
MEM 1116.878906 1738823982.9060
MEM 1193.222656 1738823983.0064
MEM 1198.722656 1738823983.1069
MEM 1201.597656 1738823983.2073
MEM 1204.347656 1738823983.3077
MEM 1241.472656 1738823983.4081
MEM 1320.722656 1738823983.5085
MEM 1403.472656 1738823983.6088
MEM 1411.722656 1738823983.7092
MEM 1411.722656 1738823983.8096
MEM 1411.722656 1738823983.9103
MEM 1411.722656 1738823984.0106
MEM 1411.722656 1738823984.1122
